City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
111,Swan River,CA,2022-05-20 02:47:07,52.1058,-101.2676,44.49,53,100,11.5
112,Faanui,PF,2022-05-20 02:47:08,-16.4833,-151.75,80.71,70,3,9.98
113,Frontera,MX,2022-05-20 02:47:08,26.9333,-101.45,85.91,34,18,14.23
114,Severo-Kurilsk,RU,2022-05-20 02:47:09,50.6789,156.125,44.6,89,100,1.97
115,Tlacolula,MX,2022-05-20 02:47:09,16.9542,-96.4792,65.23,84,76,1.86
116,Aklavik,CA,2022-05-20 02:42:21,68.2191,-135.0107,40.59,79,65,5.28
117,Ola,RU,2022-05-20 02:47:10,59.5833,151.2833,39.15,80,89,17.07
118,Fort Nelson,CA,2022-05-20 02:47:10,58.8053,-122.7002,58.59,18,75,18.41
119,Spasskoye,RU,2022-05-20 02:47:11,44.6108,132.7969,69.94,47,18,6.06
120,Ust-Tsilma,RU,2022-05-20 02:47:12,65.441,52.1498,37.02,65,69,7.78
121,Glenwood Springs,US,2022-05-20 02:44:07,39.5505,-107.3248,77.92,34,100,19.57
122,Faaborg,DK,2022-05-20 02:47:12,55.0951,10.2423,55.4,92,70,14.67
123,Havoysund,NO,2022-05-20 02:47:13,70.9963,24.6622,37.63,73,100,8.75
124,Clyde River,CA,2022-05-20 02:44:02,70.4692,-68.5914,23.23,100,100,13.8
125,Constitucion,CL,2022-05-20 02:47:14,-35.3333,-72.4167,55.8,93,100,17.72
126,Lokachi,UA,2022-05-20 02:47:14,50.737,24.6494,46.74,82,100,8.34
127,Nouadhibou,MR,2022-05-20 02:47:15,20.931,-17.0347,66.18,94,62,17.27
128,Port-Gentil,GA,2022-05-20 02:47:16,-0.7193,8.7815,78.28,87,100,12.68
129,Atuona,PF,2022-05-20 02:47:16,-9.8,-139.0333,78.06,61,0,9.15
130,Chokurdakh,RU,2022-05-20 02:47:17,70.6333,147.9167,33.04,100,90,8.12
131,Cidreira,BR,2022-05-20 02:47:18,-30.1811,-50.2056,54.77,92,30,11.52
132,Lac Du Bonnet,CA,2022-05-20 02:47:18,50.2536,-96.0612,46.69,90,100,6.85
133,Dabakala,CI,2022-05-20 02:47:19,8.3667,-4.4333,75.38,89,100,4.14
134,Ulaangom,MN,2022-05-20 02:47:20,49.9811,92.0667,72.21,21,85,9.37
135,Tiksi,RU,2022-05-20 02:47:20,71.6872,128.8694,31.12,96,100,10.85
136,Qiongshan,CN,2022-05-20 02:47:21,20.0058,110.3542,80.58,83,20,4.47
137,Thompson,CA,2022-05-20 02:47:21,55.7435,-97.8558,35.76,64,100,13.8
138,Dingle,PH,2022-05-20 02:47:22,10.9995,122.6711,88.84,62,27,4.74
139,Atikokan,CA,2022-05-20 02:48:23,48.7555,-91.6216,47.95,84,99,8.14
140,Ouango,CF,2022-05-20 02:48:23,4.3133,22.5552,70.47,100,100,2.13
141,Ribas Do Rio Pardo,BR,2022-05-20 02:48:23,-20.4431,-53.7592,48.18,82,0,3.44
142,Olga,RU,2022-05-20 02:48:24,43.7444,135.2892,66.6,55,21,7.65
143,San Ramon,US,2022-05-20 02:47:43,37.7799,-121.978,73.62,63,0,10.36
144,Usinsk,RU,2022-05-20 02:48:25,65.9939,57.5281,34.95,60,93,16.89
145,Laguna,US,2022-05-20 02:48:25,38.421,-121.4238,87.78,13,0,12.66
146,Kupang,ID,2022-05-20 02:48:25,-10.1667,123.5833,88.25,50,5,12.8
147,Southbridge,US,2022-05-20 02:44:58,42.0751,-72.0334,56.08,97,57,1.99
148,Qaanaaq,GL,2022-05-20 02:48:26,77.484,-69.3632,14.41,64,96,6.46
149,Xingtai,CN,2022-05-20 02:48:26,37.0631,114.4942,89.42,20,5,5.7
150,Zeya,RU,2022-05-20 02:48:27,53.75,127.2667,62.37,47,100,4.68
151,Arona,ES,2022-05-20 02:48:27,28.0996,-16.681,62.13,79,20,4.61
152,Marfino,RU,2022-05-20 02:48:28,55.7028,37.3822,41.34,75,0,8.95
153,Savonlinna,FI,2022-05-20 02:48:28,61.8699,28.88,35.65,80,0,2.3
154,Korla,CN,2022-05-20 02:48:29,41.7597,86.1469,81.01,17,92,17.83
155,Iranshahr,IR,2022-05-20 02:48:29,27.2025,60.6848,84.54,14,0,4.61
156,Provideniya,RU,2022-05-20 02:48:29,64.3833,-173.3,37.51,87,75,6.71
157,Lamu,KE,2022-05-20 02:48:30,-2.2717,40.902,79.02,82,27,12.59
158,Arraial Do Cabo,BR,2022-05-20 02:48:30,-22.9661,-42.0278,68.5,72,87,28.27
159,Vardo,NO,2022-05-20 02:48:31,70.3705,31.1107,33.78,69,100,2.3
160,Ust-Nera,RU,2022-05-20 02:48:31,64.5667,143.2,42.62,60,86,5.12
161,Mazkeret Batya,IL,2022-05-20 02:48:32,31.8539,34.8386,73.2,72,0,3.44
162,Uruzgan,AF,2022-05-20 02:48:32,32.8333,66.0,66.78,33,0,2.26
163,Tateyama,JP,2022-05-20 02:48:32,34.9833,139.8667,68.79,78,100,11.05
164,Ballina,AU,2022-05-20 02:48:33,-28.8667,153.5667,63.79,57,100,14.2
165,Maceio,BR,2022-05-20 02:48:33,-9.6658,-35.7353,78.24,88,0,9.22
166,Wanganui,NZ,2022-05-20 02:48:34,-39.9333,175.05,54.59,72,95,28.01
167,Bethel,US,2022-05-20 02:48:34,41.3712,-73.414,56.03,91,0,0.0
168,Cherskiy,RU,2022-05-20 02:48:34,68.75,161.3,57.42,38,46,12.59
169,Colborne,CA,2022-05-20 02:48:35,44.0001,-77.8828,52.81,98,92,7.07
170,Riyadh,SA,2022-05-20 02:44:47,24.6877,46.7219,78.94,16,0,5.35
171,Pevek,RU,2022-05-20 02:48:36,69.7008,170.3133,33.01,99,100,3.87
172,Chicama,PE,2022-05-20 02:48:36,-7.8447,-79.1469,61.34,83,20,6.33
173,Ewa Beach,US,2022-05-20 02:48:37,21.3156,-158.0072,85.95,74,75,10.36
174,Kifri,IQ,2022-05-20 02:48:37,34.6959,44.9661,80.89,20,2,3.36
175,Ruwi,OM,2022-05-20 02:48:37,23.5996,58.5507,101.89,38,1,6.02
176,Ware,GB,2022-05-20 02:48:38,51.8126,-0.0283,57.02,82,100,5.75
177,Kungalv,SE,2022-05-20 02:48:38,57.871,11.9805,52.68,93,100,5.23
178,Liling,CN,2022-05-20 02:48:39,27.6667,113.5,66.24,89,100,4.23
179,Bandarbeyla,SO,2022-05-20 02:48:39,9.4942,50.8122,82.38,68,25,16.11
180,Los Chiles,CR,2022-05-20 02:48:40,11.0333,-84.7167,73.96,97,100,4.65
181,Kendari,ID,2022-05-20 02:48:40,-3.945,122.4989,88.38,58,18,2.37
182,Mar Del Plata,AR,2022-05-20 02:48:41,-38.0023,-57.5575,48.94,77,0,11.5
183,Ponta Delgada,PT,2022-05-20 02:49:41,37.7333,-25.6667,61.5,72,20,8.05
184,Port Hardy,CA,2022-05-20 02:49:42,50.6996,-127.4199,51.98,62,20,16.11
