City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
91,Luderitz,NA,2022-05-22 04:54:41,-26.6481,15.1594,55.51,59,4,5.64,clear sky
92,Port Lincoln,AU,2022-05-22 04:56:09,-34.7333,135.8667,63.25,68,84,12.59,broken clouds
93,Sayyan,YE,2022-05-22 04:56:10,15.1718,44.3244,70.29,12,9,16.51,clear sky
94,Coyutla,MX,2022-05-22 04:56:10,20.25,-97.65,78.58,71,1,1.23,clear sky
95,Lachi,PK,2022-05-22 04:56:11,33.3833,71.3386,93.92,14,0,4.76,clear sky
96,Isangel,VU,2022-05-22 04:52:47,-19.55,169.2667,78.51,86,55,12.77,broken clouds
97,Saint-Pierre,RE,2022-05-22 04:56:11,-21.3393,55.4781,75.9,53,0,5.75,clear sky
98,Bengkulu,ID,2022-05-22 04:53:10,-3.8004,102.2655,84.61,65,56,6.44,broken clouds
99,Norman Wells,CA,2022-05-22 04:56:12,65.282,-126.8329,42.84,93,100,3.44,light intensity shower rain
100,Thompson,CA,2022-05-22 04:56:13,55.7435,-97.8558,35.76,64,20,0.0,few clouds
101,Mataura,NZ,2022-05-22 04:56:13,-46.1927,168.8643,42.35,82,68,8.08,broken clouds
102,Broome,US,2022-05-22 04:56:13,42.2506,-75.833,72.68,79,73,3.0,broken clouds
103,Otane,NZ,2022-05-22 04:56:14,-39.8833,176.6333,60.01,62,2,15.55,clear sky
104,Santa Isabel Do Rio Negro,BR,2022-05-22 04:56:14,-0.4139,-65.0192,71.02,100,100,1.97,overcast clouds
105,Cidreira,BR,2022-05-22 04:56:15,-30.1811,-50.2056,55.58,81,97,4.18,overcast clouds
106,Ozerne,UA,2022-05-22 04:56:15,50.1782,28.7338,50.65,84,44,17.69,scattered clouds
107,Banda Aceh,ID,2022-05-22 04:56:16,5.5577,95.3222,86.97,67,15,17.58,light rain
108,Nome,US,2022-05-22 04:56:16,64.5011,-165.4064,62.17,45,96,3.11,overcast clouds
109,Dingle,PH,2022-05-22 04:56:17,10.9995,122.6711,87.94,63,100,6.4,overcast clouds
110,Provideniya,RU,2022-05-22 04:56:17,64.3833,-173.3,49.01,53,99,10.65,overcast clouds
111,Faanui,PF,2022-05-22 04:56:18,-16.4833,-151.75,80.8,72,10,11.43,clear sky
112,Pevek,RU,2022-05-22 04:56:18,69.7008,170.3133,36.91,92,84,5.68,broken clouds
113,Panzhihua,CN,2022-05-22 04:56:19,26.5851,101.7128,71.78,69,100,2.44,overcast clouds
114,Constitucion,CL,2022-05-22 04:56:19,-35.3333,-72.4167,53.08,71,100,4.94,overcast clouds
115,Okha,RU,2022-05-22 04:56:20,53.5739,142.9478,35.29,99,100,4.29,snow
116,Chhatak,BD,2022-05-22 04:56:20,25.0333,91.6667,86.99,71,9,7.05,clear sky
117,Broken Hill,AU,2022-05-22 04:56:21,-31.95,141.4333,65.05,54,22,11.68,few clouds
118,Nyurba,RU,2022-05-22 04:56:22,63.2842,118.3319,63.43,38,80,6.08,broken clouds
119,Mount Isa,AU,2022-05-22 04:56:22,-20.7333,139.5,80.37,34,40,5.75,scattered clouds
120,Yahotyn,UA,2022-05-22 04:56:23,50.2798,31.7625,50.54,75,52,16.93,broken clouds
121,Springdale,US,2022-05-22 04:52:14,36.1867,-94.1288,55.51,93,75,11.99,broken clouds
122,Torbay,CA,2022-05-22 04:56:21,47.6666,-52.7314,52.57,54,100,13.8,overcast clouds
123,Sirur,IN,2022-05-22 04:56:23,18.8333,74.3833,89.46,36,16,24.43,few clouds
124,Khatanga,RU,2022-05-22 04:56:24,71.9667,102.5,36.21,86,100,8.14,overcast clouds
125,Qaqortoq,GL,2022-05-22 04:56:24,60.7167,-46.0333,39.24,82,100,11.39,overcast clouds
