City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
684,Denpasar,ID,87.46,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
686,Sambava,MG,75.25,moderate rain,-14.2667,50.1667,Melrose
687,Yining,CN,75.11,overcast clouds,29.0361,114.5636,Xiushui Hotel
688,Erzin,TR,77.79,clear sky,36.9559,36.2,Artemis Otel
691,Bacolod,PH,87.33,overcast clouds,10.6667,122.95,Planta Hotel & Residences
693,Sabang,ID,83.25,broken clouds,5.8933,95.3214,Hotel Citra
699,Sangre Grande,TT,80.19,scattered clouds,10.5835,-61.1177,Lotus drive
700,Cabedelo,BR,75.87,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
702,Yeppoon,AU,78.58,overcast clouds,-23.1333,150.7333,Villa Mar Colina
705,Kloulklubed,PW,82.9,broken clouds,7.0419,134.2556,Storyboard Beach Resort
714,Galle,LK,83.73,scattered clouds,6.0367,80.217,Amangalla
715,Ramshir,IR,85.86,clear sky,30.8946,49.4092,معصومه مهدیان
717,Sao Jose De Ribamar,BR,77.38,broken clouds,-2.5619,-44.0542,Mediterrânea Hotel e Restaurante
719,Yuci,CN,83.95,clear sky,37.6803,112.7319,Thank Inn Plus Hotel Shanxi Jinzhong Yuci District Yingbin West Street Yinhaixinyue
